EARN_GOOD|EMPNO_GOOD|DIFFERENCE
REG|67478|26.23
REG|67541|55.7
REG|67542|43.22
REG|67543|50.52
REG|67621|71.77
REG|67631|49.3
REG|67647|15.57
REG|67663|35.12
REG|67667|54.75
REG|67691|52.25
REG|67692|42.65
REG|67728|5.8
REG|67729|36.7
REG|68161|35.88
REG|68201|41.41
REG|68202|69.08
REG|68278|88.86
REG|68300|53.2
REG|68302|64.98
REG|68303|94.63
REG|68304|82.63
REG|68315|63.44
REG|68320|92.39
REG|68368|49.6
REG|68508|124.74
REG|68509|79.47
REG|68512|118.19
REG|68513|22.18
REG|68515|17.55
REG|68537|70.68
REG|68539|46.35
REG|68570|75.38
REG|68571|45.98
REG|68573|27.17
REG|68574|85.78
REG|68575|66.07
REG|68576|66.47
REG|68581|112.27
REG|68587|40.04
REG|68589|88.02
REG|68615|94.33
REG|68616|87.39
REG|68618|59.76
REG|68619|51.37
REG|68620|70.99
REG|68621|49.29
REG|68622|46.97
REG|68624|78.06
REG|68693|88.26
REG|68704|37.5
REG|68705|55.37
REG|68733|88.8
REG|68779|145.51
REG|68937|82.26
REG|68944|146.95
REG|68946|120.25
REG|68947|173.76
REG|69021|61.86
REG|69022|80.85
REG|69034|104.32
REG|69080|121.52
REG|69082|103.42
REG|69120|108.43
REG|69122|120.88
REG|69124|192.11
REG|69131|80.32
REG|69163|105.48
REG|69167|149.36
REG|69168|103.68
REG|69275|133.48
REG|69276|70.32
REG|69278|141.94
REG|69279|113.31
REG|69288|199.82
REG|69291|9.62
REG|69292|160.16
REG|69294|58.26
REG|69295|141.54
REG|69296|177.48
REG|69584|203.2
REG|69587|127.2
REG|69589|193.32
REG|69592|251.53
REG|69593|170.86
REG|69595|85.89
REG|69596|195.47
REG|69658|77.44
REG|69660|143.02
REG|69662|34.5
REG|69663|211.1
REG|69667|145.71
REG|69668|239.34
REG|69708|242.93
REG|69712|185.4
REG|69716|135.11
REG|69806|123.79
REG|69807|109.05
REG|69808|232.65
REG|69810|297.88
REG|69811|70.43
REG|69813|222.06
REG|69834|148.23
REG|69836|82.39
REG|69839|216.11
REG|69882|87.66
REG|69883|153.11
REG|69885|141.42
REG|69918|134.48
REG|69919|153.34
REG|69922|35.42
REG|69969|179.29
REG|69970|51.08
REG|69972|170.7
REG|69974|204.05
REG|69981|88.41
REG|69982|194.04
REG|70005|204.05
REG|70006|106
REG|70007|126.02
REG|70010|157.58
REG|70011|129.22
REG|70012|119.98
REG|70014|125
REG|70024|84.69
REG|70026|135.72
REG|70027|50.72
REG|70028|36.25
REG|70168|43.32
REG|70170|9.95
REG|70172|152.98
REG|70286|104.83
REG|70313|93.42
REG|70663|22.85
REG|70665|34.8
REG|70667|24.64
REG|70668|13.2
REG|70670|46.46
REG|70671|14.58
REG|70672|41.96
REG|70673|77.84
REG|70682|24.19
REG|70740|52.89
REG|70774|57.29
REG|70776|29.63
REG|70778|39.58
REG|70780|14.84
REG|70782|36.2
REG|70784|23.57
REG|70906|20.69
REG|70951|38.35
REG|70957|32.04
REG|70962|21
